epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.65659,2.41036,3.67417,1.89462,0,0,0,0,2.52356,3.81105,2.00207,2e-05,2e-05,2e-05
2,2.62575,2.55046,3.71725,1.9755,0,0,0,0,2.51415,3.81427,1.99623,5.9406e-05,5.9406e-05,5.9406e-05
3,3.68912,2.57701,3.74318,2.00198,0,0,0,0,2.52303,3.81391,2.00112,9.802e-05,9.802e-05,9.802e-05
4,4.53368,2.65401,3.83063,1.98452,0,0,0,0,2.12665,3.70023,1.67821,0.000135842,0.000135842,0.000135842
5,5.59648,2.19204,3.47046,1.58225,0.02133,0.18182,0.01291,0.00636,1.75408,3.55474,1.36875,0.000172872,0.000172872,0.000172872
6,6.89335,2.12796,3.00642,1.40892,0.04133,0.35227,0.03078,0.01709,1.61013,3.43516,1.24241,0.00020911,0.00020911,0.00020911
7,8.14361,1.99383,2.46317,1.30227,0.044,0.375,0.04973,0.02645,1.60241,3.34587,1.22429,0.000244556,0.000244556,0.000244556
8,9.15924,1.84481,2.07866,1.33806,0.012,0.10227,0.04658,0.02316,1.60566,3.31855,1.24977,0.00027921,0.00027921,0.00027921
9,10.3311,1.80879,1.79347,1.28921,0.012,0.10227,0.05009,0.02397,1.51385,3.28365,1.21503,0.000313072,0.000313072,0.000313072
10,11.4249,1.67668,1.75025,1.26054,0.01067,0.09091,0.04004,0.02364,1.44198,3.21349,1.14961,0.000346142,0.000346142,0.000346142
11,12.6436,1.6999,1.7,1.27907,0.006,0.05114,0.037,0.02173,1.43114,3.15334,1.13886,0.00037842,0.00037842,0.00037842
12,13.5499,1.57127,1.77711,1.2744,0.004,0.03409,0.01898,0.01169,1.4506,3.09691,1.16707,0.000409906,0.000409906,0.000409906
13,14.7534,1.68646,1.70335,1.27783,0.00667,0.05682,0.01611,0.01075,1.47773,3.05979,1.18588,0.0004406,0.0004406,0.0004406
14,15.8483,1.52148,1.66465,1.25953,0.00533,0.04545,0.02098,0.01255,1.48014,3.04471,1.1897,0.000470502,0.000470502,0.000470502
15,17.0051,1.5587,1.66308,1.26692,0.00867,0.07386,0.04088,0.02266,1.44336,2.97603,1.16352,0.000499612,0.000499612,0.000499612
16,17.9273,1.53057,1.5529,1.19767,0.01067,0.09091,0.0534,0.03559,1.47421,2.91553,1.16858,0.00052793,0.00052793,0.00052793
17,19.0214,1.48336,1.63546,1.21038,0.01067,0.09091,0.05817,0.03456,1.51903,2.8868,1.21546,0.000555456,0.000555456,0.000555456
18,19.9809,1.57937,1.56583,1.23254,0.02,0.17045,0.10383,0.06742,1.48142,2.82233,1.19155,0.00058219,0.00058219,0.00058219
19,21.2335,1.5007,1.45924,1.20468,0.02067,0.17614,0.14547,0.09636,1.43027,2.78998,1.15714,0.000608132,0.000608132,0.000608132
20,22.2497,1.4763,1.44201,1.18488,0.02267,0.19318,0.17442,0.11927,1.44126,2.77318,1.16688,0.000633282,0.000633282,0.000633282
21,23.6254,1.38946,1.39999,1.15232,0.03267,0.27841,0.21917,0.1439,1.50959,2.71864,1.20266,0.00065764,0.00065764,0.00065764
22,24.7664,1.59138,1.49675,1.24419,0.034,0.28977,0.2276,0.14716,1.51064,2.70038,1.20197,0.000681206,0.000681206,0.000681206
23,25.9107,1.41543,1.42734,1.21882,0.03733,0.31818,0.23349,0.16086,1.4309,2.6773,1.15303,0.00070398,0.00070398,0.00070398
24,26.5001,1.55019,1.46141,1.22833,0.052,0.44318,0.32257,0.20445,1.48139,2.52706,1.17846,0.000725962,0.000725962,0.000725962
25,27.1147,1.58725,1.41075,1.20389,0.5682,0.28409,0.32452,0.20128,1.52531,2.4878,1.21588,0.000747152,0.000747152,0.000747152
26,27.6768,1.48378,1.41117,1.20308,0.46618,0.28409,0.32458,0.20016,1.52847,2.48835,1.19639,0.00076755,0.00076755,0.00076755
27,28.2472,1.61985,1.38326,1.20199,0.79746,0.20136,0.36759,0.21512,1.53315,2.45629,1.16794,0.000787156,0.000787156,0.000787156
28,28.8119,1.42523,1.51756,1.16689,0.79746,0.20136,0.36759,0.21512,1.53315,2.45629,1.16794,0.00080597,0.00080597,0.00080597
29,29.3979,1.45503,1.4035,1.17975,0.88561,0.13201,0.35133,0.21502,1.50945,2.44279,1.15029,0.000823992,0.000823992,0.000823992
30,29.9845,1.61713,1.51735,1.26285,0.94072,0.18037,0.4144,0.23868,1.49985,2.3771,1.14239,0.000841222,0.000841222,0.000841222
31,30.5649,1.38836,1.40125,1.19197,0.94072,0.18037,0.4144,0.23868,1.49985,2.3771,1.14239,0.00085766,0.00085766,0.00085766
32,31.1323,1.51698,1.35484,1.19401,0.89129,0.22159,0.41584,0.24939,1.52654,2.35698,1.15872,0.000873306,0.000873306,0.000873306
33,31.7135,1.40306,1.35424,1.16711,0.89973,0.20395,0.44015,0.25407,1.48662,2.38508,1.16714,0.00088816,0.00088816,0.00088816
34,32.6711,1.5101,1.35709,1.18258,0.89973,0.20395,0.44015,0.25407,1.48662,2.38508,1.16714,0.000902222,0.000902222,0.000902222
35,33.7652,1.36215,1.26822,1.11724,0.91471,0.18284,0.41416,0.23581,1.48694,2.46495,1.13557,0.000915492,0.000915492,0.000915492
36,34.8121,1.4176,1.25321,1.12943,0.95668,0.12548,0.3571,0.20479,1.47502,2.59382,1.12855,0.00092797,0.00092797,0.00092797
37,35.9219,1.37759,1.24786,1.10148,0.95668,0.12548,0.3571,0.20479,1.47502,2.59382,1.12855,0.000939656,0.000939656,0.000939656
38,37.125,1.39406,1.27128,1.13679,0.79217,0.15163,0.30724,0.1801,1.4885,2.61262,1.13262,0.00095055,0.00095055,0.00095055
39,38.2969,1.47975,1.34232,1.16818,0.72665,0.16617,0.33949,0.19429,1.48484,2.49073,1.14285,0.000960652,0.000960652,0.000960652
40,39.3439,1.49132,1.20944,1.14165,0.72665,0.16617,0.33949,0.19429,1.48484,2.49073,1.14285,0.000969962,0.000969962,0.000969962
41,40.6252,1.34824,1.22214,1.10482,0.8266,0.17045,0.34479,0.19956,1.4567,2.40376,1.14693,0.00097848,0.00097848,0.00097848
42,41.5939,1.21637,1.15395,1.10409,0.91164,0.17586,0.32781,0.19278,1.48249,2.40382,1.15451,0.000986206,0.000986206,0.000986206
43,42.86,1.38937,1.24495,1.12906,0.91164,0.17586,0.32781,0.19278,1.48249,2.40382,1.15451,0.00099314,0.00099314,0.00099314
44,44.0637,1.39403,1.231,1.135,0.70921,0.22727,0.36636,0.21201,1.46679,2.32034,1.13433,0.000999282,0.000999282,0.000999282
45,45.0168,1.33764,1.25389,1.1565,0.70921,0.22727,0.36636,0.21201,1.46679,2.32034,1.13433,0.00100463,0.00100463,0.00100463
46,46.2201,1.45756,1.33204,1.16715,0.78783,0.28977,0.45714,0.25914,1.47009,2.20678,1.1245,0.00100919,0.00100919,0.00100919
47,47.4396,1.30286,1.17398,1.10443,0.78783,0.28977,0.45714,0.25914,1.47009,2.20678,1.1245,0.00101296,0.00101296,0.00101296
48,48.4711,1.43016,1.387,1.19691,0.79622,0.22201,0.36411,0.21285,1.46288,2.39312,1.12848,0.00101593,0.00101593,0.00101593
49,49.4399,1.34302,1.18997,1.10546,0.79622,0.22201,0.36411,0.21285,1.46288,2.39312,1.12848,0.00101811,0.00101811,0.00101811
50,50.518,1.37431,1.17024,1.11763,0.68117,0.30349,0.40763,0.24688,1.4683,2.13918,1.15519,0.0010195,0.0010195,0.0010195
51,51.5492,1.30001,1.13129,1.09664,0.68117,0.30349,0.40763,0.24688,1.4683,2.13918,1.15519,0.00101,0.00101,0.00101
52,52.7996,1.35682,1.22102,1.15407,0.69094,0.32386,0.40803,0.25738,1.4637,2.10651,1.15081,0.0009902,0.0009902,0.0009902
53,53.909,1.29541,1.2296,1.12289,0.69094,0.32386,0.40803,0.25738,1.4637,2.10651,1.15081,0.0009704,0.0009704,0.0009704
54,55.019,1.39367,1.15272,1.10955,0.76629,0.3726,0.52726,0.32041,1.42859,1.85888,1.14078,0.0009506,0.0009506,0.0009506
55,56.3165,1.37146,1.1592,1.12949,0.76629,0.3726,0.52726,0.32041,1.42859,1.85888,1.14078,0.0009308,0.0009308,0.0009308
56,57.5512,1.22552,1.08583,1.07303,0.84013,0.35831,0.5312,0.3247,1.42831,1.97184,1.12595,0.000911,0.000911,0.000911
57,58.895,1.39859,1.15235,1.11536,0.84013,0.35831,0.5312,0.3247,1.42831,1.97184,1.12595,0.0008912,0.0008912,0.0008912
58,59.8641,1.2351,1.101,1.06863,0.86931,0.35227,0.50924,0.31181,1.43029,2.0672,1.13479,0.0008714,0.0008714,0.0008714
59,60.9424,1.22164,1.08414,1.06498,0.86931,0.35227,0.50924,0.31181,1.43029,2.0672,1.13479,0.0008516,0.0008516,0.0008516
60,61.9273,1.33399,1.15246,1.10221,0.77497,0.28977,0.4921,0.28548,1.47705,2.11845,1.16389,0.0008318,0.0008318,0.0008318
61,62.9277,1.31218,1.05495,1.0597,0.77497,0.28977,0.4921,0.28548,1.47705,2.11845,1.16389,0.000812,0.000812,0.000812
62,64.1624,1.39641,1.12999,1.12154,0.6901,0.44284,0.54649,0.32291,1.42766,1.7368,1.15381,0.0007922,0.0007922,0.0007922
63,65.3194,1.28488,1.07087,1.07205,0.6901,0.44284,0.54649,0.32291,1.42766,1.7368,1.15381,0.0007724,0.0007724,0.0007724
64,66.3662,1.33394,1.08483,1.10692,0.59296,0.56284,0.62084,0.38238,1.38755,1.31271,1.14493,0.0007526,0.0007526,0.0007526
65,67.4917,1.31714,1.14175,1.09891,0.59296,0.56284,0.62084,0.38238,1.38755,1.31271,1.14493,0.0007328,0.0007328,0.0007328
66,68.8833,1.30904,1.03973,1.07947,0.645,0.5625,0.63808,0.3861,1.38625,1.19714,1.15153,0.000713,0.000713,0.000713
67,70.1021,1.28879,1.04348,1.05533,0.645,0.5625,0.63808,0.3861,1.38625,1.19714,1.15153,0.0006932,0.0006932,0.0006932
68,71.2125,1.37927,1.14578,1.11209,0.68944,0.52841,0.63689,0.38041,1.3924,1.18776,1.14907,0.0006734,0.0006734,0.0006734
69,72.3221,1.24911,1.06936,1.07889,0.68944,0.52841,0.63689,0.38041,1.3924,1.18776,1.14907,0.0006536,0.0006536,0.0006536
70,73.3534,1.19045,1.08239,1.0554,0.65894,0.52273,0.61705,0.37071,1.40841,1.30985,1.15003,0.0006338,0.0006338,0.0006338
71,74.3853,1.16994,1.05443,1.07406,0.65894,0.52273,0.61705,0.37071,1.40841,1.30985,1.15003,0.000614,0.000614,0.000614
72,75.7915,1.2476,1.13433,1.09352,0.64744,0.44868,0.55528,0.33469,1.4071,1.61008,1.15128,0.0005942,0.0005942,0.0005942
73,76.6705,1.25082,1.0784,1.03587,0.64744,0.44868,0.55528,0.33469,1.4071,1.61008,1.15128,0.0005744,0.0005744,0.0005744
74,77.834,1.23939,1.07229,1.07936,0.65583,0.48295,0.58912,0.35088,1.41231,1.58107,1.1501,0.0005546,0.0005546,0.0005546
75,78.9484,1.20815,1.05826,1.06524,0.65583,0.48295,0.58912,0.35088,1.41231,1.58107,1.1501,0.0005348,0.0005348,0.0005348
76,80.1098,1.2419,1.06951,1.05316,0.69684,0.52273,0.63466,0.3743,1.41961,1.25064,1.17277,0.000515,0.000515,0.000515
77,81.3326,1.32053,1.07758,1.08345,0.69684,0.52273,0.63466,0.3743,1.41961,1.25064,1.17277,0.0004952,0.0004952,0.0004952
78,82.6698,1.13924,0.98438,1.03179,0.57752,0.62137,0.64544,0.37744,1.40348,1.11564,1.17056,0.0004754,0.0004754,0.0004754
79,83.8455,1.13133,0.96193,1.04763,0.57752,0.62137,0.64544,0.37744,1.40348,1.11564,1.17056,0.0004556,0.0004556,0.0004556
80,85.0381,1.20284,1.10947,1.11313,0.61069,0.60606,0.65412,0.38538,1.38211,1.10688,1.16289,0.0004358,0.0004358,0.0004358
81,86.2611,1.12003,0.9357,1.01034,0.61069,0.60606,0.65412,0.38538,1.38211,1.10688,1.16289,0.000416,0.000416,0.000416
82,87.5966,1.1761,0.94961,1.03599,0.60779,0.64205,0.6517,0.38495,1.36616,1.11747,1.15965,0.0003962,0.0003962,0.0003962
83,88.7254,1.11746,0.90397,1.00779,0.60779,0.64205,0.6517,0.38495,1.36616,1.11747,1.15965,0.0003764,0.0003764,0.0003764
84,89.8556,1.23121,1.01161,1.05591,0.56898,0.65253,0.64035,0.38484,1.36924,1.12097,1.15609,0.0003566,0.0003566,0.0003566
85,90.8441,1.12136,0.96326,1.02833,0.56898,0.65253,0.64035,0.38484,1.36924,1.12097,1.15609,0.0003368,0.0003368,0.0003368
86,91.9896,1.12449,0.96619,1.02352,0.5713,0.63068,0.64154,0.37928,1.373,1.12601,1.14469,0.000317,0.000317,0.000317
87,92.9278,1.27754,1.03206,1.07619,0.5713,0.63068,0.64154,0.37928,1.373,1.12601,1.14469,0.0002972,0.0002972,0.0002972
88,93.8891,1.18005,0.94867,1.02923,0.60622,0.61932,0.64948,0.38847,1.37826,1.16775,1.13973,0.0002774,0.0002774,0.0002774
89,94.8324,1.27025,0.99184,1.04124,0.60622,0.61932,0.64948,0.38847,1.37826,1.16775,1.13973,0.0002576,0.0002576,0.0002576
90,95.9736,1.22747,1.04722,1.0619,0.60463,0.59956,0.6463,0.38452,1.38516,1.21225,1.14201,0.0002378,0.0002378,0.0002378
91,111.155,1.08871,0.98172,1.00883,0.60463,0.59956,0.6463,0.38452,1.38516,1.21225,1.14201,0.000218,0.000218,0.000218
92,111.83,1.10309,0.92024,0.99766,0.60172,0.54545,0.64945,0.38249,1.40004,1.24821,1.14639,0.0001982,0.0001982,0.0001982
93,112.386,1.11009,0.94955,1.01212,0.60172,0.54545,0.64945,0.38249,1.40004,1.24821,1.14639,0.0001784,0.0001784,0.0001784
94,112.947,1.15253,0.98935,1.02542,0.60967,0.53977,0.65126,0.3774,1.39978,1.27748,1.14576,0.0001586,0.0001586,0.0001586
95,113.503,1.14345,0.95338,1.01451,0.60967,0.53977,0.65126,0.3774,1.39978,1.27748,1.14576,0.0001388,0.0001388,0.0001388
96,114.098,1.05239,0.91525,1.0064,0.64464,0.52841,0.64911,0.37841,1.38922,1.27221,1.14011,0.000119,0.000119,0.000119
97,114.604,1.08306,0.92383,1.00911,0.64464,0.52841,0.64911,0.37841,1.38922,1.27221,1.14011,9.92e-05,9.92e-05,9.92e-05
98,115.132,1.03454,0.92635,0.9982,0.62567,0.54133,0.6502,0.38223,1.37156,1.25302,1.13273,7.94e-05,7.94e-05,7.94e-05
99,115.667,1.10504,0.9246,1.01566,0.62567,0.54133,0.6502,0.38223,1.37156,1.25302,1.13273,5.96e-05,5.96e-05,5.96e-05
100,116.227,1.06634,0.91507,1.01369,0.63021,0.54545,0.64966,0.38653,1.3635,1.21913,1.1297,3.98e-05,3.98e-05,3.98e-05
